Trading Pair,Price,Market Cap,24h Volume,Cap Size,Total Profit (%),Absolute Profit ($),Market Change (%),Total Trades,Wins,Losses,Draws,Win Rate (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Profit Factor,Expectancy ($),CAGR (%),Avg Hold Time,Final Balance
AWE/USDT,0.07247,$140.14M,$101.29M,Small-Cap,0.0,0.0,-13.26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
ETH/USDT,4622.43,$557.91B,$23.33B,Large-Cap,0.0,0.0,-25.41,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
ILV/USDT,14.97,$141.72M,$12.08M,Small-Cap,0.0,0.0,-71.97,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
ETC/USDT,21.15,$3.25B,$114.89M,Mid-Cap,0.0,0.0,-32.75,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
MINA/USDT,0.19082,$239.06M,$9.97M,Small-Cap,0.0,0.0,-68.69,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
SAND/USDT,0.309728,$757.62M,$73.81M,Small-Cap,0.0,0.0,-54.19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00,1000.0
JTO/USDT,1.94,$732.97M,$74.10M,Small-Cap,-0.1,-0.997,-32.86,3,2,1,0,66.67,0.97,-0.015,-100.0,-1.1,0.898,-0.332,-0.2,1:18:00,999.003
XLM/USDT,0.389615,$12.40B,$226.18M,Large-Cap,-0.25,-2.513,-29.2,2,1,1,0,50.0,2.57,-0.011,-100.0,-1.044,0.904,-1.256,-0.51,2:50:00,997.487
BIO/USDT,0.17437,$330.83M,$222.28M,Small-Cap,-0.99,-9.884,-92.61,15,5,10,0,33.33,8.31,-0.049,-0.112,-1.284,0.934,-0.659,-2.03,5:48:00,990.116
BEAMX/USDT,no data,no data,no data,no data,-1.01,-10.075,-76.83,6,4,2,0,66.67,4.89,-0.055,-0.385,-2.197,0.802,-1.679,-2.04,1:46:00,989.925
ALICE/USDT,0.3857,$35.52M,$24.73M,Micro-Cap,-1.07,-10.658,-64.73,2,1,1,0,50.0,2.29,-0.064,-100.0,-4.96,0.541,-5.329,-2.16,1:58:00,989.342
LDO/USDT,1.24,$1.11B,$84.09M,Mid-Cap,-1.36,-13.632,-56.16,4,2,2,0,50.0,4.18,-0.07,-0.213,-3.483,0.676,-3.408,-2.76,4:31:00,986.368
PEPE/USDT,1.156e-05,$4.86B,$896.87M,Mid-Cap,-1.54,-15.356,-49.22,4,2,2,0,50.0,2.5,-0.075,-0.999,-6.555,0.671,-3.839,-3.11,2:35:00,984.644
NEO/USDT,6.77,$477.09M,$15.89M,Small-Cap,-1.75,-17.519,-58.22,3,1,2,0,33.33,3.43,-0.097,-0.148,-5.457,0.497,-5.84,-3.54,2:22:00,982.481
IOTA/USDT,0.193962,$779.41M,$14.89M,Small-Cap,-2.14,-21.439,-42.95,2,1,1,0,50.0,2.96,-0.12,-100.0,-7.732,0.282,-10.719,-4.32,2:30:00,978.561
TON/USDT,3.19,$8.18B,$126.36M,Mid-Cap,-2.31,-23.119,-47.56,2,1,1,0,50.0,2.9,-0.142,-100.0,-8.523,0.201,-11.559,-4.66,2:42:00,976.881
SEI/USDT,0.333282,$2.00B,$133.19M,Mid-Cap,-2.42,-24.159,-25.49,1,0,1,0,0.0,0.0,-100.0,-100.0,-100.0,0.0,-24.159,-4.86,2:10:00,975.841
IOTX/USDT,0.02759124,$260.52M,$8.70M,Small-Cap,-2.42,-24.21,-44.02,3,1,2,0,33.33,3.58,-0.164,-0.309,-7.218,0.332,-8.07,-4.87,2:55:00,975.79
PENDLE/USDT,5.05,$851.58M,$49.95M,Small-Cap,-2.78,-27.815,-24.71,1,0,1,0,0.0,0.0,-100.0,-100.0,-100.0,0.0,-27.815,-5.59,"2 days, 15:10:00",972.185
CTSI/USDT,0.088344,$78.28M,$36.57M,Micro-Cap,-2.82,-28.157,-59.84,1,0,1,0,0.0,0.0,-100.0,-100.0,-100.0,0.0,-28.157,-5.66,9:55:00,971.843
SXT/USDT,0.081563,$0.00,$11.37M,Micro-Cap,-2.96,-29.589,-49.68,8,5,3,0,62.5,5.42,-0.834,-1.525,-20.045,0.469,-3.699,-19.01,1:43:00,970.411
SKL/USDT,0.02785331,$166.26M,$17.51M,Small-Cap,-3.35,-33.451,-59.69,7,3,4,0,42.86,8.08,-0.173,-0.761,-4.42,0.586,-4.779,-6.7,5:16:00,966.549
PROM/USDT,9.35,$170.62M,$8.07M,Small-Cap,-4.38,-43.817,-8.38,12,10,2,0,83.33,24.92,-0.057,-0.034,-1.877,0.84,-3.651,-8.73,6:06:00,956.183
HYPER/USDT,0.322398,$56.56M,$21.81M,Micro-Cap,-4.69,-46.922,-58.79,9,4,5,0,44.44,5.75,-0.722,-2.406,-22.938,0.535,-5.214,-22.74,1:52:00,953.078
CRV/USDT,0.796349,$1.12B,$103.79M,Mid-Cap,-5.05,-50.521,-41.04,2,0,2,0,0.0,5.05,-2.776,-2.776,-10.673,0.0,-25.26,-10.03,5:32:00,949.479
CETUS/USDT,0.094698,$80.14M,$15.40M,Micro-Cap,-7.98,-79.766,-66.85,12,11,1,0,91.67,24.92,-0.103,-100.0,-3.416,0.714,-6.647,-15.59,0:34:00,920.234
SOLV/USDT,0.04180769,$61.97M,$12.32M,Micro-Cap,-10.54,-105.446,-67.85,24,17,7,0,70.83,24.92,-0.197,-0.129,-4.959,0.739,-4.394,-22.08,6:59:00,894.554
ORCA/USDT,2.38,$143.29M,$30.32M,Small-Cap,-11.34,-113.385,-48.7,24,15,9,0,62.5,25.77,-0.209,-0.159,-4.697,0.712,-4.724,-21.76,2:04:00,886.615
HEI/USDT,0.473178,$37.83M,$29.56M,Micro-Cap,-11.4,-114.015,-75.32,9,8,1,0,88.89,24.92,-0.189,-100.0,-6.427,0.544,-12.668,-27.74,1:37:00,885.985
